"iid","indicator","itype","source","year","spid","subpillar","pid","pillar"
12,"Big Data Analysis","% of SMEs","Eurostat / DESI",2020,5,"SMEs Digitalisation",2,"Digital Transition"
13,"Cloud Computing Services","% of SMEs","Eurostat / DESI",2020,5,"SMEs Digitalisation",2,"Digital Transition"
14,"Social Media Use (Two or More)","% of SMEs","Eurostat / DESI",2019,5,"SMEs Digitalisation",2,"Digital Transition"
15,"Integration of Internal Processes (ERP Software Package Use)","% of SMEs","Eurostat / DESI",2019,5,"SMEs Digitalisation",2,"Digital Transition"
16,"AI Systems (At Least One System Is Used)","% of SMEs","Eurostat",2020,5,"SMEs Digitalisation",2,"Digital Transition"
17,"Internet of Things (IoT) Use","% of SMEs","Eurostat",2020,5,"SMEs Digitalisation",2,"Digital Transition"
18,"Share of SMEs with E-commerce Sales in Total SMEs","(% of SMEs)","Eurostat",2020,6,"E-commerce",2,"Digital Transition"
19,"Share of SMEs' Total Turnover from E-commerce Sales in Total Turnover","(% of total turnover)","Eurostat",2020,6,"E-commerce",2,"Digital Transition"
20,"Share of SMEs That Employ ICT Specialists in Total SMEs","(% of SMEs)","Eurostat",2020,7,"Digital Skills",2,"Digital Transition"
21,"Share of SMEs for Which ICT Functions Are Performed by Own Employees in Total SMEs","(% of SMEs)","Eurostat ",2020,7,"Digital Skills",2,"Digital Transition"
22,"Recycling or Reusing Materials","(% of SMEs)","European Commission",2020,8,"Recycling and Reuse",3,"Green Transition"
23,"Reducing Consumption of or Impact on Natural Resources (e.g. Saving Water or Switching to Sustainable Resources)","(% of SMEs)","European Commission",2020,8,"Recycling and Reuse",3,"Green Transition"
24,"Share of Enterprises That Have Reduced the Use of Natural Resources (Water, Wood, Fossil Fuels, etc.) ","(% of enterprises)","European Commission",2021,8,"Recycling and Reuse",3,"Green Transition"
25,"Developing Sustainable Products or Services","(% of SMEs)","European Commission",2020,8,"Recycling and Reuse",3,"Green Transition"
26,"Share of Renewable Energy in Gross Final Energy Consumption [SDG_07_40]","(%, [SDG_07_40])","Eurostat",2019,8,"Recycling and Reuse",3,"Green Transition"
27,"Greenhouse Gas Emissions (Index, 1990 = 100)","(index, 1990 = 100)","Eurostat",2019,9,"Greenhouse Gas Emissions",3,"Green Transition"
28,"Share of Enterprises Which Agree That Digital Technologies Help Reducing Greenhouse Gas Emissions","(% of enterprises)","European Commission",2021,9,"Greenhouse Gas Emissions",3,"Green Transition"
29,"Share of Enterprises Aiming to Reduce the Environmental Footprint (Either Marginally or Radically)","(% of enterprises)","European Commission",2021,9,"Greenhouse Gas Emissions",3,"Green Transition"
30,"Share of Enterprises Which Agree That Digital Technologies Help With Pollution Prevention and Control","(% of enterprises)","European Commission",2021,9,"Greenhouse Gas Emissions",3,"Green Transition"
31,"Share of Enterprises That Have Guidelines to Encourage Environmentally Conscious Behaviours (e.g. Sustainable Transport)","(% of enterprises)","European Commission",2021,9,"Greenhouse Gas Emissions",3,"Green Transition"
32,"Evaluating The Impact Of Your Enterprise On Society","(% of SMEs)","European Commission",2020,10,"Other Actions",3,"Green Transition"
33,"Share Of Enterprises That Have Measured Their Environmental Impact ","(% of enterprises)","European Commission",2021,10,"Other Actions",3,"Green Transition"
34,"Share Of Enterprises That Are Active And Very Active In Taking Environmental Actions","(% of enterprises)","European Commission",2021,10,"Other Actions",3,"Green Transition"
35,"Share Of Enterprises Which Agree That Using Digital Technologies Has Accelerated Their Environmental Actions","(% of enterprises)","European Commission",2021,10,"Other Actions",3,"Green Transition"
36,"Share Of Enterprises Which Agree That Digital Technologies Help To Transition To A Circular Economy","(% of enterprises)","European Commission",2021,10,"Other Actions",3,"Green Transition"
37,"Share of HGEs in Total Active Enterprises (with 10+ Employees)","(%)","Eurostat",2018,11,"High-Growth Enterprises",4,"SME Competitiveness"
38,"Share of Exporting SMEs in Total SMEs","(%)","Eurostat",2018,12,"SMEs Trade",4,"SME Competitiveness"
39,"Share of SMEs Value Added (at Factor Cost) in Total Value Added (for Business Economy)","(%)","Eurostat",2018,12,"SMEs Trade",4,"SME Competitiveness"
40,"SMEs Trade (Imports and Exports) to GDP Ratio","(ratio)","Eurostat",2019,12,"SMEs Trade",4,"SME Competitiveness"
41,"SMEs Labour Productivity","VA per employed","Eurostat",2018,13,"Labour Productivity",4,"SME Competitiveness"
