"abbr","pid","pillar","val"
"AT",2,"Digital Transition",51.743333
"AT",3,"Green Transition",49.370000
"AT",4,"SME Competitiveness",51.293333
"BE",2,"Digital Transition",67.370000
"BE",3,"Green Transition",49.873333
"BE",4,"SME Competitiveness",53.756667
"BG",2,"Digital Transition",18.183333
"BG",3,"Green Transition",49.716667
"BG",4,"SME Competitiveness",45.106667
"CY",2,"Digital Transition",38.870000
"CY",3,"Green Transition",28.520000
"CY",4,"SME Competitiveness",35.726667
"CZ",2,"Digital Transition",47.290000
"CZ",3,"Green Transition",31.536667
"CZ",4,"SME Competitiveness",42.743333
"DE",2,"Digital Transition",43.900000
"DE",3,"Green Transition",45.700000
"DE",4,"SME Competitiveness",49.150000
"DK",2,"Digital Transition",82.186667
"DK",3,"Green Transition",43.170000
"DK",4,"SME Competitiveness",70.486667
"EE",2,"Digital Transition",42.820000
"EE",3,"Green Transition",34.033333
"EE",4,"SME Competitiveness",52.823333
"EL",2,"Digital Transition",26.176667
"EL",3,"Green Transition",51.656667
"EL",4,"SME Competitiveness",49.193333
"ES",2,"Digital Transition",43.340000
"ES",3,"Green Transition",72.700000
"ES",4,"SME Competitiveness",56.023333
"EU27_2020",2,"Digital Transition",43.323333
"EU27_2020",3,"Green Transition",53.703333
"EU27_2020",4,"SME Competitiveness",48.916667
"FI",2,"Digital Transition",74.403333
"FI",3,"Green Transition",58.946667
"FI",4,"SME Competitiveness",61.126667
"FR",2,"Digital Transition",39.526667
"FR",3,"Green Transition",49.986667
"FR",4,"SME Competitiveness",46.893333
"HR",2,"Digital Transition",50.386667
"HR",3,"Green Transition",57.550000
"HR",4,"SME Competitiveness",45.520000
"HU",2,"Digital Transition",38.463333
"HU",3,"Green Transition",34.876667
"HU",4,"SME Competitiveness",46.473333
"IE",2,"Digital Transition",85.506667
"IE",3,"Green Transition",75.643333
"IE",4,"SME Competitiveness",65.563333
"IT",2,"Digital Transition",30.166667
"IT",3,"Green Transition",46.203333
"IT",4,"SME Competitiveness",50.453333
"LT",2,"Digital Transition",51.753333
"LT",3,"Green Transition",46.020000
"LT",4,"SME Competitiveness",46.760000
"LU",2,"Digital Transition",39.373333
"LU",3,"Green Transition",74.646667
"LU",4,"SME Competitiveness",68.740000
"LV",2,"Digital Transition",28.933333
"LV",3,"Green Transition",46.793333
"LV",4,"SME Competitiveness",52.450000
"MT",2,"Digital Transition",67.766667
"MT",3,"Green Transition",54.960000
"MT",4,"SME Competitiveness",59.870000
"NL",2,"Digital Transition",59.700000
"NL",3,"Green Transition",51.750000
"NL",4,"SME Competitiveness",75.350000
"PL",2,"Digital Transition",32.540000
"PL",3,"Green Transition",53.806667
"PL",4,"SME Competitiveness",43.020000
"PT",2,"Digital Transition",43.140000
"PT",3,"Green Transition",82.483333
"PT",4,"SME Competitiveness",46.980000
"RO",2,"Digital Transition",29.173333
"RO",3,"Green Transition",66.940000
"RO",4,"SME Competitiveness",19.893333
"SE",2,"Digital Transition",67.303333
"SE",3,"Green Transition",74.706667
"SE",4,"SME Competitiveness",61.343333
"SI",2,"Digital Transition",36.556667
"SI",3,"Green Transition",50.326667
"SI",4,"SME Competitiveness",66.643333
"SK",2,"Digital Transition",32.780000
"SK",3,"Green Transition",46.913333
"SK",4,"SME Competitiveness",48.223333
