UnitCode,UnitName,SMEs_Exporters,SMEs_TradeRatio,HGEs,HGEs_empl,SMEs_LP,BigData,Cloud,SocialMedia,HighDII,ICT_security,ICT_specialists,ICT_functions,ICT_training,E-sales,Turnover,GHG,SME_GHG,GreenProd,GreenSME,Consumption,Recycle_reuse,Circular_use,Exports,Growth,Productivity,Digital,DigitSkills,E-commerce,Emissions,Outputs,Resources,Competitive,D-Trans,G-Trans,Index
BEL,Belgium,65.159,55.123,40.060,21.467,71.712,71.943,66.804,87.652,61.146,90.730,93.891,59.349,78.980,59.457,60.233,60.563,66.543,65.385,47.301,76.845,43.934,63.056,60.141,30.764,71.712,75.655,77.407,59.845,63.553,56.343,61.278,54.206,70.969,60.391,61.855
BGR,Bulgaria,43.227,61.604,54.163,54.723,13.020,14.008,10.000,12.375,10.000,35.880,28.733,20.210,11.184,20.927,10.000,79.108,51.895,23.846,15.719,10.000,15.902,19.722,52.416,54.443,13.020,16.453,20.042,15.463,65.502,19.783,15.208,39.959,17.319,33.497,30.259
CZE,Czechia,10.000,45.211,51.773,41.674,23.766,23.482,54.356,36.359,36.122,74.893,37.692,55.189,48.191,46.518,62.326,70.101,42.731,10.000,28.807,51.068,54.262,37.778,27.605,46.723,23.766,45.042,47.024,54.422,56.416,19.403,47.703,32.698,48.829,41.174,40.900
DNK,Denmark,60.171,34.736,68.207,50.057,92.482,87.611,84.547,66.755,96.488,100.000,100.000,76.176,80.461,80.160,69.442,75.399,100.000,72.308,100.000,24.854,26.230,27.778,47.453,59.132,92.482,87.080,85.546,74.801,87.700,86.154,26.287,66.356,82.476,66.714,71.848
DEU,Germany,67.746,18.588,48.247,47.368,51.503,55.182,50.922,51.082,52.805,92.661,51.131,59.916,62.993,41.629,38.465,74.718,57.810,48.077,26.566,68.544,61.639,41.389,43.167,47.808,51.503,60.530,58.014,40.047,66.264,37.321,57.191,47.492,52.864,53.592,51.316
EST,Estonia,99.822,100.000,55.896,48.989,31.369,26.761,74.388,34.222,39.195,50.944,33.213,54.622,38.717,41.629,42.233,88.040,58.126,37.692,57.578,33.155,27.705,48.056,99.911,52.443,31.369,45.102,42.184,41.931,73.083,47.635,36.305,61.241,43.072,52.341,52.218
IRL,Ireland,28.829,26.361,93.127,92.487,100.000,72.672,75.676,57.731,80.902,72.961,86.561,45.924,51.151,100.000,100.000,34.903,72.611,44.615,18.205,23.981,64.590,11.667,27.595,92.807,100.000,71.988,61.212,100.000,53.757,31.410,33.412,73.467,77.734,39.527,63.576
GRC,Greece,16.467,28.236,100.000,100.000,11.377,38.057,21.733,48.707,11.976,10.000,46.652,25.315,24.803,29.840,20.884,66.165,32.245,72.308,10.000,50.194,57.213,15.556,22.351,100.000,11.377,26.094,32.256,25.362,49.205,41.154,40.988,44.576,27.904,43.782,38.754
ESP,Spain,39.827,23.894,66.355,59.706,33.303,23.482,35.755,74.354,31.512,58.283,28.326,40.252,43.750,72.396,33.023,46.333,36.874,58.462,17.804,100.000,100.000,28.333,31.861,63.030,33.303,44.677,37.443,52.710,41.604,38.133,76.111,42.731,44.943,51.949,46.541
FRA,France,18.393,10.000,50.518,27.557,51.547,69.393,33.323,42.296,17.024,81.073,33.213,36.849,27.171,25.240,11.674,62.380,77.334,75.769,26.510,33.155,49.836,61.111,14.196,39.038,51.547,48.622,32.411,18.457,69.857,51.140,48.034,34.927,33.163,56.344,41.478
HRV,Croatia,22.151,46.906,65.100,47.368,18.443,39.514,47.488,37.784,32.390,46.695,29.955,69.937,44.342,62.620,46.419,64.348,33.997,37.692,29.023,41.019,36.557,21.944,34.529,56.234,18.443,40.774,48.078,54.519,49.173,33.358,33.174,36.402,47.790,38.568,40.920
ITA,Italy,33.670,28.989,55.896,47.131,38.504,22.389,78.824,46.570,31.512,76.438,18.145,10.000,41.086,29.553,46.837,62.986,35.898,41.154,37.198,65.485,51.311,57.222,31.329,51.514,38.504,51.146,23.077,38.195,49.442,39.176,58.006,40.449,37.473,48.875,42.265
CYP,Cyprus,28.603,44.651,10.299,10.000,28.449,13.279,63.800,81.478,44.902,72.575,64.163,48.950,67.730,40.479,17.953,10.000,47.592,55.000,20.085,44.951,51.311,13.889,36.627,10.149,28.449,55.207,60.281,29.216,28.796,37.542,36.717,25.075,48.235,34.352,35.887
LVA,Latvia,68.947,84.104,55.657,47.091,17.902,20.931,32.321,41.583,17.244,38.970,38.914,86.387,27.763,28.978,24.233,47.468,10.000,20.385,36.721,48.447,20.328,23.333,76.525,51.374,17.902,30.210,51.021,26.605,28.734,28.553,30.703,48.600,35.945,29.330,37.959
LTU,Lithuania,48.418,69.448,63.904,62.434,19.677,30.040,38.903,32.797,35.902,60.215,30.769,52.164,20.954,84.760,53.116,95.080,37.554,51.538,24.694,59.806,10.000,17.222,58.933,63.169,19.677,39.571,34.629,68.938,66.317,38.116,29.009,47.260,47.713,44.481,46.484
LUX,Luxembourg,40.031,26.101,68.088,45.786,88.044,58.097,39.046,60.343,35.902,52.103,56.425,52.920,47.007,12.300,n.a.,58.823,n.a.,86.154,70.559,62.427,64.590,16.667,33.066,56.937,88.044,49.098,52.117,12.300,58.823,78.356,47.895,59.349,37.839,61.691,52.960
HUN,Hungary,34.612,54.807,60.916,78.330,17.788,16.559,29.030,11.662,24.488,23.906,86.154,43.466,36.053,39.329,35.953,73.129,47.221,16.923,42.404,65.922,39.508,25.000,44.709,69.623,17.788,21.129,55.224,37.641,60.175,29.663,43.477,44.040,37.998,44.438,42.159
MLT,Malta,13.408,32.195,71.434,75.286,40.829,100.000,73.816,82.665,69.488,79.914,98.371,68.803,66.842,70.383,24.233,56.249,78.689,44.615,38.339,52.816,48.361,37.778,22.801,73.360,40.829,81.176,78.005,47.308,67.469,41.477,46.318,45.663,68.830,51.755,55.416
NLD,Netherlands,53.920,78.571,73.765,65.756,67.157,87.611,84.547,96.201,63.561,89.571,86.561,56.702,67.434,65.495,56.047,62.153,47.610,100.000,43.069,72.039,66.066,100.000,66.245,69.760,67.157,84.298,70.232,60.771,54.881,71.535,79.368,67.721,71.767,68.595,69.361
AUT,Austria,69.925,42.660,42.331,26.489,n.a.,22.024,49.205,71.029,42.049,77.597,56.018,78.445,41.382,52.556,30.512,43.911,65.168,96.538,26.614,68.107,57.213,40.278,56.293,34.410,n.a.,52.381,58.615,41.534,54.540,61.576,55.199,45.351,50.843,57.105,51.100
POL,Poland,40.198,32.843,57.271,70.699,19.173,20.931,31.892,22.348,31.293,80.687,85.747,32.878,53.816,24.952,23.814,55.568,70.535,30.769,20.476,51.068,35.082,31.389,36.520,63.985,19.173,37.430,57.480,24.383,63.051,25.623,39.180,39.893,39.764,42.618,40.758
PRT,Portugal,33.030,38.589,68.386,84.815,17.972,28.947,41.049,43.008,48.195,66.781,44.615,48.193,53.520,33.578,46.000,62.002,22.557,37.692,34.315,29.660,61.639,13.056,35.809,76.601,17.972,45.596,48.776,39.789,42.279,36.004,34.785,43.461,44.720,37.689,41.957
ROU,Romania,26.649,35.771,10.000,19.332,10.000,10.000,12.146,10.000,12.634,54.034,10.000,51.029,10.000,10.000,22.140,98.335,48.568,27.308,16.216,72.476,46.885,10.000,31.210,14.666,10.000,19.763,23.676,16.070,73.451,21.762,43.120,18.625,19.836,46.111,28.191
SVN,Slovenia,100.000,77.826,64.920,40.962,33.666,13.644,52.353,50.844,42.268,54.421,45.023,35.714,67.434,49.968,42.651,52.086,37.729,72.308,36.150,43.641,40.984,36.667,88.913,52.941,33.666,42.706,49.390,46.310,44.907,54.229,40.430,58.507,46.135,46.522,50.388
SVK,Slovakia,37.884,57.016,50.518,39.025,18.123,11.093,43.196,29.710,22.293,52.103,30.362,39.685,26.579,26.390,26.744,80.774,41.609,86.154,32.131,89.951,66.066,29.167,47.450,44.771,18.123,31.679,32.209,26.567,61.191,59.142,61.728,36.781,30.151,60.687,42.540
FIN,Finland,49.033,24.775,73.825,60.536,64.690,67.571,99.428,100.000,95.171,100.000,78.416,100.000,100.000,69.808,n.a.,40.202,39.915,86.154,45.952,56.311,48.361,11.667,36.904,67.180,64.690,92.434,92.805,69.808,40.058,66.053,38.779,56.258,85.016,48.297,63.190
SWE,Sweden,46.855,33.163,92.649,74.574,68.777,59.919,100.000,94.538,100.000,70.258,55.611,83.929,84.013,86.773,58.558,100.000,64.735,93.077,51.174,96.942,86.721,24.444,40.009,83.612,68.777,84.943,74.518,72.666,82.367,72.125,69.369,64.132,77.375,74.621,72.043
