UnitName,UnitCode,BigData,Cloud,SocialMedia,HighDII,ICT_security,ICT_specialists,ICT_functions,ICT_training,E-sales,Turnover,Consumption,Recycle_reuse,Circular_use,GHG,SME_GHG,GreenProd,GreenSME,SMEs_Exporters,SMEs_TradeRatio,SMEs_LP,HGEs,HGEs_empl,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,21.80,51.70,44.10,40.30,95.70,30.80,46.60,31.20,28.10,16.70,50.00,38.00,20.50,78.90,33.75,35.0,40.56,10.03,43.89,69.73,6.88,5.75,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,5.90,12.00,12.40,17.00,81.50,14.80,25.90,8.30,14.70,4.70,19.40,19.00,4.90,54.40,41.55,23.0,27.89,6.58,48.86,15.12,9.24,14.16,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,8.50,43.00,22.50,28.90,91.60,17.00,44.40,20.80,23.60,17.20,38.20,45.00,11.40,66.30,46.44,19.0,33.14,1.35,36.29,25.12,8.84,10.86,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,26.10,64.10,35.30,56.40,98.10,32.30,55.50,31.70,35.30,18.90,26.20,26.00,7.80,59.30,15.93,37.0,61.70,9.24,28.26,89.05,11.59,12.98,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,17.20,40.60,28.70,36.50,96.20,20.30,46.90,25.80,21.90,11.50,46.20,50.00,12.70,60.20,38.40,30.0,32.24,10.43,15.88,50.92,8.25,12.30,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,9.40,57.00,21.60,30.30,85.40,15.90,44.10,17.60,21.90,12.40,30.00,27.00,15.10,42.60,38.24,27.0,44.68,15.48,78.29,32.19,9.53,12.71,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,22.00,57.90,31.50,49.30,91.10,29.00,39.50,21.80,42.20,26.20,25.80,52.00,2.00,112.80,30.52,29.0,28.89,4.31,21.84,96.04,15.76,23.71,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,12.50,20.20,27.70,17.90,74.80,19.20,28.60,12.90,17.80,7.30,37.80,47.00,3.40,71.50,52.02,37.0,25.59,2.36,23.28,13.59,16.91,25.61,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,8.50,30.00,38.50,26.80,87.30,14.70,36.50,19.30,32.60,10.20,60.60,76.00,8.00,97.70,49.56,33.0,28.73,6.04,19.95,33.99,11.28,15.42,,,,,,,,,,,,,,,,,,,,,
France,FRA,21.10,28.30,25.00,20.20,93.20,15.90,34.70,13.70,16.20,5.10,30.00,42.00,19.80,76.50,28.00,38.0,32.22,2.67,9.30,50.97,8.63,7.29,,,,,,,,,,,,,,,,,,,,,
