"rid","abbr","iid","val","val_norm"
1,"EU27_2020",1,14,NULL
2,"EU27_2020",2,35,NULL
3,"EU27_2020",3,28,NULL
4,"EU27_2020",4,21,NULL
5,"EU27_2020",5,92,NULL
6,"EU27_2020",6,22,NULL
7,"EU27_2020",7,12,NULL
8,"EU27_2020",8,18,NULL
9,"EU27_2020",9,39,NULL
10,"EU27_2020",10,18,NULL
16,"EU27_2020",16,37.38,NULL
17,"EU27_2020",17,5.43,NULL
18,"EU27_2020",18,24.85,NULL
19,"EU27_2020",19,41.18,NULL
20,"EU27_2020",20,11.85,NULL
21,"BE",1,22,NULL
22,"BE",2,52,NULL
23,"BE",3,44,NULL
24,"BE",4,27,NULL
25,"BE",5,94,NULL
26,"BE",6,30,NULL
27,"BE",7,15,NULL
28,"BE",8,28,NULL
29,"BE",9,50,NULL
30,"BE",10,31,NULL
36,"BE",16,46.59,NULL
37,"BE",17,6.25,NULL
38,"BE",18,53.38,NULL
39,"BE",19,75.68,NULL
40,"BE",20,8.15,NULL
41,"BG",1,6,NULL
42,"BG",2,10,NULL
43,"BG",3,12,NULL
44,"BG",4,8,NULL
45,"BG",5,85,NULL
46,"BG",6,12,NULL
47,"BG",7,4,NULL
48,"BG",8,15,NULL
49,"BG",9,29,NULL
50,"BG",10,6,NULL
56,"BG",16,29.54,NULL
57,"BG",17,6.8,NULL
58,"BG",18,53.79,NULL
59,"BG",19,13.86,NULL
60,"BG",20,10.71,NULL
61,"CZ",1,8,NULL
62,"CZ",2,28,NULL
63,"CZ",3,23,NULL
64,"CZ",4,19,NULL
65,"CZ",5,94,NULL
66,"CZ",6,24,NULL
67,"CZ",7,17,NULL
68,"CZ",8,16,NULL
69,"CZ",9,36,NULL
70,"CZ",10,23,NULL
76,"CZ",16,34.32,NULL
77,"CZ",17,1.45,NULL
78,"CZ",18,37.17,NULL
79,"CZ",19,25.95,NULL
80,"CZ",20,10.42,NULL
81,"DK",1,26,NULL
82,"DK",2,66,NULL
83,"DK",3,35,NULL
84,"DK",4,42,NULL
85,"DK",5,97,NULL
86,"DK",6,38,NULL
87,"DK",7,18,NULL
88,"DK",8,27,NULL
89,"DK",9,58,NULL
90,"DK",10,29,NULL
96,"DK",16,48.23,NULL
97,"DK",17,9.63,NULL
98,"DK",18,27.62,NULL
99,"DK",19,136.24,NULL
100,"DK",20,9.48,NULL
101,"DE",1,17,NULL
102,"DE",2,32,NULL
103,"DE",3,29,NULL
104,"DE",4,24,NULL
105,"DE",5,97,NULL
106,"DE",6,21,NULL
107,"DE",7,10,NULL
108,"DE",8,17,NULL
109,"DE",9,49,NULL
110,"DE",10,22,NULL
116,"DE",16,40.09,NULL
117,"DE",17,10.25,NULL
118,"DE",18,16.62,NULL
119,"DE",19,48.95,NULL
120,"DE",20,9.44,NULL
121,"EE",1,9,NULL
122,"EE",2,56,NULL
123,"EE",3,22,NULL
124,"EE",4,18,NULL
125,"EE",5,86,NULL
126,"EE",6,22,NULL
127,"EE",7,12,NULL
128,"EE",8,15,NULL
129,"EE",9,55,NULL
130,"EE",10,16,NULL
136,"EE",16,43.2,NULL
137,"EE",17,16.14,NULL
138,"EE",18,79.81,NULL
139,"EE",19,32.52,NULL
140,"EE",20,10.67,NULL
141,"IE",1,22,NULL
142,"IE",2,50,NULL
143,"IE",3,32,NULL
144,"IE",4,27,NULL
145,"IE",5,93,NULL
146,"IE",6,39,NULL
147,"IE",7,22,NULL
148,"IE",8,29,NULL
149,"IE",9,48,NULL
150,"IE",10,26,NULL
156,"IE",16,35.47,NULL
157,"IE",17,3.96,NULL
158,"IE",18,25.87,NULL
159,"IE",19,81.43,NULL
160,"IE",20,15.76,NULL
161,"EL",1,12,NULL
162,"EL",2,12,NULL
163,"EL",3,29,NULL
164,"EL",4,17,NULL
165,"EL",5,73,NULL
166,"EL",6,21,NULL
167,"EL",7,11,NULL
168,"EL",8,18,NULL
169,"EL",9,25,NULL
170,"EL",10,15,NULL
176,"EL",16,27.21,NULL
177,"EL",17,2.43,NULL
178,"EL",18,21.27,NULL
179,"EL",19,14.97,NULL
180,"EL",20,17.41,NULL
181,"ES",1,8,NULL
182,"ES",2,25,NULL
183,"ES",3,39,NULL
184,"ES",4,24,NULL
185,"ES",5,91,NULL
186,"ES",6,27,NULL
187,"ES",7,9,NULL
188,"ES",8,16,NULL
189,"ES",9,37,NULL
190,"ES",10,19,NULL
196,"ES",16,32.71,NULL
197,"ES",17,5.61,NULL
198,"ES",18,19.19,NULL
199,"ES",19,36.24,NULL
200,"ES",20,15.52,NULL
201,"FR",1,21,NULL
202,"FR",2,26,NULL
203,"FR",3,25,NULL
204,"FR",4,13,NULL
205,"FR",5,94,NULL
206,"FR",6,18,NULL
207,"FR",7,13,NULL
208,"FR",8,16,NULL
209,"FR",9,39,NULL
210,"FR",10,13,NULL
216,"FR",16,38.85,NULL
217,"FR",17,2.83,NULL
218,"FR",18,10.02,NULL
219,"FR",19,54.91,NULL
220,"FR",20,12.12,NULL
221,"HR",1,13,NULL
222,"HR",2,38,NULL
223,"HR",3,23,NULL
224,"HR",4,19,NULL
225,"HR",5,90,NULL
226,"HR",6,29,NULL
227,"HR",7,13,NULL
228,"HR",8,17,NULL
229,"HR",9,47,NULL
230,"HR",10,21,NULL
236,"HR",16,35.59,NULL
237,"HR",17,3.41,NULL
238,"HR",18,36.67,NULL
239,"HR",19,21.06,NULL
240,"HR",20,12.83,NULL
241,"IT",1,8,NULL
242,"IT",2,59,NULL
243,"IT",3,27,NULL
244,"IT",4,19,NULL
245,"IT",5,93,NULL
246,"IT",6,18,NULL
247,"IT",7,9,NULL
248,"IT",8,12,NULL
249,"IT",9,23,NULL
250,"IT",10,15,NULL
256,"IT",16,35.61,NULL
257,"IT",17,5.44,NULL
258,"IT",18,24.01,NULL
259,"IT",19,42.57,NULL
260,"IT",20,10.94,NULL
261,"CY",1,6,NULL
262,"CY",2,34,NULL
263,"CY",3,42,NULL
264,"CY",4,25,NULL
265,"CY",5,83,NULL
266,"CY",6,18,NULL
267,"CY",7,5,NULL
268,"CY",8,24,NULL
269,"CY",9,32,NULL
270,"CY",10,25,NULL
276,"CY",16,30.18,NULL
277,"CY",17,4.23,NULL
278,"CY",18,38.19,NULL
279,"CY",19,54.63,NULL
280,"CY",20,3.4,NULL
281,"LV",1,8,NULL
282,"LV",2,21,NULL
283,"LV",3,25,NULL
284,"LV",4,13,NULL
285,"LV",5,98,NULL
286,"LV",6,16,NULL
287,"LV",7,8,NULL
288,"LV",8,19,NULL
289,"LV",9,23,NULL
290,"LV",10,16,NULL
296,"LV",16,45.45,NULL
297,"LV",17,11.08,NULL
298,"LV",18,65.79,NULL
299,"LV",19,19.56,NULL
300,"LV",20,10,NULL
301,"LT",1,10,NULL
302,"LT",2,30,NULL
303,"LT",3,21,NULL
304,"LT",4,20,NULL
305,"LT",5,93,NULL
306,"LT",6,36,NULL
307,"LT",7,18,NULL
308,"LT",8,14,NULL
309,"LT",9,51,NULL
310,"LT",10,12,NULL
316,"LT",16,36.55,NULL
317,"LT",17,7.7,NULL
318,"LT",18,55.75,NULL
319,"LT",19,19.93,NULL
320,"LT",20,9.99,NULL
321,"LU",1,18,NULL
322,"LU",2,28,NULL
323,"LU",3,33,NULL
324,"LU",4,21,NULL
325,"LU",5,93,NULL
326,"LU",6,11,NULL
327,"LU",7,NULL,NULL
328,"LU",8,20,NULL
329,"LU",9,42,NULL
330,"LU",10,20,NULL
336,"LU",16,52.85,NULL
337,"LU",17,6.23,NULL
338,"LU",18,25.72,NULL
339,"LU",19,88.6,NULL
340,"LU",20,11.41,NULL
341,"HU",1,7,NULL
342,"HU",2,24,NULL
343,"HU",3,12,NULL
